OID_,src_GEOID10,nbr_GEOID10,LENGTH,NODE_COUNT
1,4200110,42001260,246.356919220143112,0
2,4200110,4200140,4378.670218163095342,0
3,4200110,42133690,993.984763093134802,0
4,42001100,42001350,1910.604030189592322,0
5,42001100,42001360,556.561010204049239,0
6,42001100,4200140,261.669124484462372,0
7,42001100,42001400,4298.730261043872815,0
8,42001100,42001425,5371.821269289098382,0
9,42001100,42001480,8603.911317269523352,0
10,42001100,4200190,4146.370793470954595,0
11,42001100,421331050,0.000000000000000,1
12,42001100,42133350,836.939725705252158,0
13,42001100,42133707,3439.772755193702324,0
14,42001100,42133728,1311.930170550067032,0
15,42001110,42001130,3781.590065482503633,0
16,42001110,42001180,920.494197934087424,0
17,42001110,42001220,984.783701250047898,0
18,42001110,42001230,1561.431524748528318,0
19,42001110,42001440,2532.570993575046487,0
20,42001110,42001450,4935.308327568815002,0
21,42001110,4200170,3566.432161764076682,0
22,42001120,42001140,7430.260817351788319,0
23,42001120,42001190,6818.968997768829468,0
24,42001120,42001220,1565.331289134897588,0
25,42001120,42001240,1218.200572234407218,0
26,42001120,42001380,1523.591061476306322,0
27,42001120,42001385,16149.280586543507525,0
28,42001120,42001440,1636.373476012254514,0
29,42001130,42001110,3781.590065482503633,0
30,42001130,42001140,3533.303720500983673,0
31,42001130,42001170,1581.666981103606304,0
32,42001130,42001180,2170.123298705874731,0
33,42001130,42001230,2247.714480608706253,0
34,42001130,42001280,3585.673662487179627,0
35,42001140,42001120,7430.260817351788319,0
36,42001140,42001130,3533.303720500983673,0
37,42001140,42001190,8185.602497532868256,0
38,42001140,42001230,158.778226861967454,0
39,42001140,42001240,2125.086979751098625,0
40,42001140,42001280,2444.837663477418573,0
41,42001150,42001260,1734.451006268566744,0
42,42001150,42001430,2345.831234565870545,0
43,42001150,42001435,1085.358460935746734,0
44,42001150,42133690,686.521270048228530,0
45,42001160,42001270,6457.873754229067345,0
46,42001170,42001130,1581.666981103606304,0
47,42001170,42001180,17254.327115031061112,0
48,42001170,42001270,12434.188851567751044,0
49,42001170,42001280,5961.951277796287286,0
50,42001170,42055213,3932.660019188147999,0
51,42001170,42055280,977.735051389094224,0
52,42001180,42001110,920.494197934087424,0
53,42001180,42001130,2170.123298705874731,0
54,42001180,42001170,17254.327115031061112,0
55,42001180,4200120,4171.171754736486037,0
56,42001180,42001370,13997.152832909208882,0
57,42001180,4200170,6181.242441551453339,0
58,42001180,42041790,5927.430883572970743,0
59,42001180,42055213,4466.182308475871650,0
60,42001190,42001120,6818.968997768829468,0
61,42001190,42001140,8185.602497532868256,0
62,42001190,42001280,3688.619834559383435,0
63,42001190,42001320,7684.489224324228417,0
64,4200120,42001180,4171.171754736486037,0
65,4200120,4200170,1782.603296851562845,0
66,42001200,42001330,4975.383581110847445,0
67,42001200,42001340,1497.369381657144913,0
68,42001200,42001380,1726.759189030302650,0
69,42001200,42001385,8796.245679000487144,0
70,42001200,42001390,1381.679523390424492,0
71,42001200,42001480,6874.358388094748989,0
72,42001220,42001110,984.783701250047898,0
73,42001220,42001120,1565.331289134897588,0
